,HvC.beta,RvC.beta,HvR.beta,HvC.pvalue,RvC.pvalue,HvR.pvalue,HvC.FDR,RvC.FDR,HvR.FDR,HvC.FWER,RvC.FWER,HvR.FWER
ENSG00000000419,0.574274287087129,-0.582961825261808,1.15723611234894,0.0222542377087806,0.029062549688,0.000184173310337399,0.050981195968066,0.0283894600923995,0.000932475568173655,1,1,1
ENSG00000000457,-0.0228381182252563,0.0203011878003402,-0.0431393060255966,0.963541561739298,0.966124496372222,0.929735860084099,0.49316262383241,0.345386707128401,0.402933057805759,1,1,1
ENSG00000000460,1.42806546354274,0.914202152732064,0.51386331081068,0.00243748120718175,0.0390076810215257,0.215693949879506,0.0132770649404011,0.0352345661191282,0.15218076278639,1,1,1
ENSG00000000938,0.630517210907893,2.20552953805818,-1.57501232715029,0.221273219422571,0.000328801691005933,0.00546800153953851,0.215169923615469,0.00117431282756559,0.0102516081276912,1,1,1
ENSG00000001036,0.551651711170619,0.971081707797521,-0.419429996626902,0.110312710659563,0.00665787282642639,0.205134661608537,0.139953823873635,0.00973414056499488,0.1464887296351,1,1,1
ENSG00000001084,0.871461578169792,3.19630788336534,-2.32484630519555,0.366790066661256,0.00164711496984132,0.019677683929206,0.28988480673632,0.00364464809460064,0.0260248305863282,1,1,1
ENSG00000001167,-0.406252043878318,-0.109468347977994,-0.296783695900324,0.111474286508311,0.638745382301553,0.225076595577577,0.140820531030547,0.26383831757101,0.157000838108286,1,1,1
ENSG00000001460,2.30760570250331,1.50510841462346,0.802497287879848,0.155915670468885,0.362973069474407,0.617653603494192,0.1742871978759,0.177254838281598,0.312470714361778,1,1,1
ENSG00000001461,0.245801982064709,0.92809571154988,-0.682293729485172,0.677492129161935,0.0932714856850608,0.234912299205916,0.41227716658113,0.0658407147281677,0.161375458019212,1,1,1
ENSG00000001497,0.622662344294827,0.348973386459551,0.273688957835276,0.0153280664659313,0.148827218780039,0.248911621890646,0.0404178400088008,0.0925757024207428,0.168176783043358,1,1,1
ENSG00000001561,0.54954824624043,-1.38300666150875,1.93255490774918,0.346342054137781,0.100715441985597,0.0153732384680475,0.280928226150617,0.0696663793136922,0.0217747810139832,1,1,1
ENSG00000001617,-1.06788587581453,-0.968327778713591,-0.0995580971009387,0.516790349413714,0.553012300496287,0.951258474865706,0.353593119451252,0.238756448660987,0.408686786506846,1,1,1
ENSG00000001629,0.444014324748901,-0.0942852824780912,0.538299607226992,0.113710227775871,0.738830321323023,0.0660336869795294,0.142650426844556,0.290090627831833,0.0644152435336454,1,1,1
ENSG00000001630,1.15882264367972,1.0804618288433,0.0783608148364188,0.00592776498687325,0.00897678624494003,0.830455306092494,0.0223330554513849,0.0120454860923344,0.37673492600273,1,1,1
ENSG00000001631,0.347842825554711,0.476615892009331,-0.128773066454621,0.5143165133989,0.358545443391729,0.804855851752591,0.352823177701057,0.175689964321337,0.37002244550481,1,1,1
ENSG00000002330,-0.489118709551899,-0.589568129178433,0.100449419626533,0.166530705581606,0.0984724559902972,0.768504686197493,0.181067704512793,0.0685887898324202,0.360162276946847,1,1,1
ENSG00000002549,0.263769100541181,-0.114303400411694,0.378072500952875,0.447984742231806,0.74120065759607,0.28265423118495,0.324976451093395,0.290675837879057,0.183303232793309,1,1,1
